Datum,Uhrzeit,SLP-Haushalt HB  [kWh]
1/1/2020,0:15:00,27.135
1/1/2020,0:30:00,25.150
1/1/2020,0:45:00,23.258
1/1/2020,1:00:00,21.429
1/1/2020,1:15:00,19.661
1/1/2020,1:30:00,18.048
1/1/2020,1:45:00,16.622
1/1/2020,2:00:00,15.475
1/1/2020,2:15:00,14.668
1/1/2020,2:30:00,14.110
1/1/2020,2:45:00,13.707
1/1/2020,3:00:00,13.428
1/1/2020,3:15:00,13.149
1/1/2020,3:30:00,12.870
1/1/2020,3:45:00,12.622
1/1/2020,4:00:00,12.404
1/1/2020,4:15:00,12.187
1/1/2020,4:30:00,12.032
1/1/2020,4:45:00,11.939
1/1/2020,5:00:00,11.877
1/1/2020,5:15:00,11.877
1/1/2020,5:30:00,11.908
1/1/2020,5:45:00,12.001
1/1/2020,6:00:00,12.125
1/1/2020,6:15:00,12.311
1/1/2020,6:30:00,12.529
1/1/2020,6:45:00,12.808
1/1/2020,7:00:00,13.149
1/1/2020,7:15:00,13.645
1/1/2020,7:30:00,14.451
1/1/2020,7:45:00,15.847
1/1/2020,8:00:00,18.079
1/1/2020,8:15:00,21.274
1/1/2020,8:30:00,25.212
1/1/2020,8:45:00,29.523
1/1/2020,9:00:00,33.802
1/1/2020,9:15:00,37.802
1/1/2020,9:30:00,41.462
1/1/2020,9:45:00,44.780
1/1/2020,10:00:00,47.757
1/1/2020,10:15:00,50.424
1/1/2020,10:30:00,52.874
1/1/2020,10:45:00,55.200
1/1/2020,11:00:00,57.556
1/1/2020,11:15:00,59.944
1/1/2020,11:30:00,62.208
1/1/2020,11:45:00,64.069
1/1/2020,12:00:00,65.309
1/1/2020,12:15:00,65.681
1/1/2020,12:30:00,65.185
1/1/2020,12:45:00,63.852
1/1/2020,13:00:00,61.681
1/1/2020,13:15:00,58.797
1/1/2020,13:30:00,55.417
1/1/2020,13:45:00,51.881
1/1/2020,14:00:00,48.532
1/1/2020,14:15:00,45.586
1/1/2020,14:30:00,43.074
1/1/2020,14:45:00,40.966
1/1/2020,15:00:00,39.229
1/1/2020,15:15:00,37.833
1/1/2020,15:30:00,36.624
1/1/2020,15:45:00,35.601
1/1/2020,16:00:00,34.577
1/1/2020,16:15:00,33.585
1/1/2020,16:30:00,32.841
1/1/2020,16:45:00,32.624
1/1/2020,17:00:00,33.306
1/1/2020,17:15:00,35.011
1/1/2020,17:30:00,37.492
1/1/2020,17:45:00,40.314
1/1/2020,18:00:00,43.105
1/1/2020,18:15:00,45.524
1/1/2020,18:30:00,47.602
1/1/2020,18:45:00,49.525
1/1/2020,19:00:00,51.354
1/1/2020,19:15:00,53.184
1/1/2020,19:30:00,54.703
1/1/2020,19:45:00,55.541
1/1/2020,20:00:00,55.231
1/1/2020,20:15:00,53.618
1/1/2020,20:30:00,51.075
1/1/2020,20:45:00,48.253
1/1/2020,21:00:00,45.679
1/1/2020,21:15:00,43.850
1/1/2020,21:30:00,42.547
1/1/2020,21:45:00,41.462
1/1/2020,22:00:00,40.252
1/1/2020,22:15:00,38.702
1/1/2020,22:30:00,36.779
1/1/2020,22:45:00,34.608
1/1/2020,23:00:00,32.251
1/1/2020,23:15:00,29.833
1/1/2020,23:30:00,27.414
1/1/2020,23:45:00,25.026
1/2/2020,0:00:00,22.700
1/2/2020,0:15:00,20.995
1/2/2020,0:30:00,18.883
1/2/2020,0:45:00,17.051
1/2/2020,1:00:00,15.498
1/2/2020,1:15:00,14.349
1/2/2020,1:30:00,13.541
1/2/2020,1:45:00,13.013
1/2/2020,2:00:00,12.672
1/2/2020,2:15:00,12.454
1/2/2020,2:30:00,12.299
1/2/2020,2:45:00,12.237
1/2/2020,3:00:00,12.144
1/2/2020,3:15:00,12.051
1/2/2020,3:30:00,11.989
1/2/2020,3:45:00,11.895
1/2/2020,4:00:00,11.895
1/2/2020,4:15:00,11.926
1/2/2020,4:30:00,12.051
1/2/2020,4:45:00,12.206
1/2/2020,5:00:00,12.423
1/2/2020,5:15:00,12.703
1/2/2020,5:30:00,13.386
1/2/2020,5:45:00,14.815
1/2/2020,6:00:00,17.331
1/2/2020,6:15:00,21.120
1/2/2020,6:30:00,25.716
1/2/2020,6:45:00,30.437
1/2/2020,7:00:00,34.630
1/2/2020,7:15:00,37.767
1/2/2020,7:30:00,39.910
1/2/2020,7:45:00,41.214
1/2/2020,8:00:00,41.866
1/2/2020,8:15:00,42.053
1/2/2020,8:30:00,41.866
1/2/2020,8:45:00,41.338
1/2/2020,9:00:00,40.593
1/2/2020,9:15:00,39.661
1/2/2020,9:30:00,38.699
1/2/2020,9:45:00,37.736
1/2/2020,10:00:00,36.959
1/2/2020,10:15:00,36.431
1/2/2020,10:30:00,36.090
1/2/2020,10:45:00,35.934
1/2/2020,11:00:00,35.934
1/2/2020,11:15:00,36.059
1/2/2020,11:30:00,36.338
1/2/2020,11:45:00,36.866
1/2/2020,12:00:00,37.736
1/2/2020,12:15:00,38.947
1/2/2020,12:30:00,40.251
1/2/2020,12:45:00,41.307
1/2/2020,13:00:00,41.866
1/2/2020,13:15:00,41.680
1/2/2020,13:30:00,40.904
1/2/2020,13:45:00,39.755
1/2/2020,14:00:00,38.512
1/2/2020,14:15:00,37.332
1/2/2020,14:30:00,36.276
1/2/2020,14:45:00,35.313
1/2/2020,15:00:00,34.381
1/2/2020,15:15:00,33.512
1/2/2020,15:30:00,32.766
1/2/2020,15:45:00,32.145
1/2/2020,16:00:00,31.804
1/2/2020,16:15:00,31.742
1/2/2020,16:30:00,32.052
1/2/2020,16:45:00,32.798
1/2/2020,17:00:00,34.133
1/2/2020,17:15:00,36.028
1/2/2020,17:30:00,38.419
1/2/2020,17:45:00,41.183
1/2/2020,18:00:00,44.196
1/2/2020,18:15:00,47.333
1/2/2020,18:30:00,50.376
1/2/2020,18:45:00,53.172
1/2/2020,19:00:00,55.563
1/2/2020,19:15:00,57.364
1/2/2020,19:30:00,58.452
1/2/2020,19:45:00,58.669
1/2/2020,20:00:00,57.892
1/2/2020,20:15:00,56.122
1/2/2020,20:30:00,53.638
1/2/2020,20:45:00,50.904
1/2/2020,21:00:00,48.327
1/2/2020,21:15:00,46.246
1/2/2020,21:30:00,44.537
1/2/2020,21:45:00,42.985
1/2/2020,22:00:00,41.370
1/2/2020,22:15:00,39.506
1/2/2020,22:30:00,37.425
1/2/2020,22:45:00,35.189
1/2/2020,23:00:00,32.829
1/2/2020,23:15:00,30.437
1/2/2020,23:30:00,28.015
1/2/2020,23:45:00,25.623
1/3/2020,0:00:00,23.263
1/3/2020,0:15:00,21.025
1/3/2020,0:30:00,18.910
1/3/2020,0:45:00,17.075
1/3/2020,1:00:00,15.520
1/3/2020,1:15:00,14.369
1/3/2020,1:30:00,13.561
1/3/2020,1:45:00,13.032
1/3/2020,2:00:00,12.690
1/3/2020,2:15:00,12.472
1/3/2020,2:30:00,12.316
1/3/2020,2:45:00,12.254
1/3/2020,3:00:00,12.161
1/3/2020,3:15:00,12.068
1/3/2020,3:30:00,12.005
1/3/2020,3:45:00,11.912
1/3/2020,4:00:00,11.912
1/3/2020,4:15:00,11.943
1/3/2020,4:30:00,12.068
1/3/2020,4:45:00,12.223
1/3/2020,5:00:00,12.441
1/3/2020,5:15:00,12.721
1/3/2020,5:30:00,13.405
1/3/2020,5:45:00,14.836
1/3/2020,6:00:00,17.355
1/3/2020,6:15:00,21.149
1/3/2020,6:30:00,25.753
1/3/2020,6:45:00,30.480
1/3/2020,7:00:00,34.679
1/3/2020,7:15:00,37.820
1/3/2020,7:30:00,39.966
1/3/2020,7:45:00,41.272
1/3/2020,8:00:00,41.926
1/3/2020,8:15:00,42.112
1/3/2020,8:30:00,41.926
1/3/2020,8:45:00,41.397
1/3/2020,9:00:00,40.650
1/3/2020,9:15:00,39.717
1/3/2020,9:30:00,38.753
1/3/2020,9:45:00,37.789
1/3/2020,10:00:00,37.011
1/3/2020,10:15:00,36.483
1/3/2020,10:30:00,36.141
1/3/2020,10:45:00,35.985
1/3/2020,11:00:00,35.985
1/3/2020,11:15:00,36.109
1/3/2020,11:30:00,36.389
1/3/2020,11:45:00,36.918
1/3/2020,12:00:00,37.789
1/3/2020,12:15:00,39.002
1/3/2020,12:30:00,40.308
1/3/2020,12:45:00,41.366
1/3/2020,13:00:00,41.926
1/3/2020,13:15:00,41.739
1/3/2020,13:30:00,40.961
1/3/2020,13:45:00,39.811
1/3/2020,14:00:00,38.567
1/3/2020,14:15:00,37.385
1/3/2020,14:30:00,36.327
1/3/2020,14:45:00,35.363
1/3/2020,15:00:00,34.430
1/3/2020,15:15:00,33.559
1/3/2020,15:30:00,32.813
1/3/2020,15:45:00,32.191
1/3/2020,16:00:00,31.849
1/3/2020,16:15:00,31.786
1/3/2020,16:30:00,32.097
1/3/2020,16:45:00,32.844
1/3/2020,17:00:00,34.181
1/3/2020,17:15:00,36.078
1/3/2020,17:30:00,38.473
1/3/2020,17:45:00,41.241
1/3/2020,18:00:00,44.258
1/3/2020,18:15:00,47.400
1/3/2020,18:30:00,50.447
1/3/2020,18:45:00,53.247
1/3/2020,19:00:00,55.642
1/3/2020,19:15:00,57.445
1/3/2020,19:30:00,58.534
1/3/2020,19:45:00,58.752
1/3/2020,20:00:00,57.974
1/3/2020,20:15:00,56.201
1/3/2020,20:30:00,53.713
1/3/2020,20:45:00,50.976
1/3/2020,21:00:00,48.395
1/3/2020,21:15:00,46.311
1/3/2020,21:30:00,44.600
1/3/2020,21:45:00,43.045
1/3/2020,22:00:00,41.428
1/3/2020,22:15:00,39.562
1/3/2020,22:30:00,37.478
1/3/2020,22:45:00,35.239
1/3/2020,23:00:00,32.875
1/3/2020,23:15:00,30.480
1/3/2020,23:30:00,28.054
1/3/2020,23:45:00,25.659
1/4/2020,0:00:00,23.295
1/4/2020,0:15:00,22.049
1/4/2020,0:30:00,21.239
1/4/2020,0:45:00,20.523
1/4/2020,1:00:00,19.713
1/4/2020,1:15:00,18.530
1/4/2020,1:30:00,17.128
1/4/2020,1:45:00,15.727
1/4/2020,2:00:00,14.512
1/4/2020,2:15:00,13.672
1/4/2020,2:30:00,13.173
1/4/2020,2:45:00,12.893
1/4/2020,3:00:00,12.706
1/4/2020,3:15:00,12.551
1/4/2020,3:30:00,12.426
1/4/2020,3:45:00,12.301
1/4/2020,4:00:00,12.177
1/4/2020,4:15:00,12.083
1/4/2020,4:30:00,11.990
1/4/2020,4:45:00,11.928
1/4/2020,5:00:00,11.928
1/4/2020,5:15:00,11.990
1/4/2020,5:30:00,12.177
1/4/2020,5:45:00,12.551
1/4/2020,6:00:00,13.205
1/4/2020,6:15:00,14.201
1/4/2020,6:30:00,15.540
1/4/2020,6:45:00,17.222
1/4/2020,7:00:00,19.184
1/4/2020,7:15:00,21.457
1/4/2020,7:30:00,24.011
1/4/2020,7:45:00,26.814
1/4/2020,8:00:00,29.803
1/4/2020,8:15:00,32.949
1/4/2020,8:30:00,36.063
1/4/2020,8:45:00,38.897
1/4/2020,9:00:00,41.202
1/4/2020,9:15:00,42.852
1/4/2020,9:30:00,43.942
1/4/2020,9:45:00,44.627
1/4/2020,10:00:00,45.094
1/4/2020,10:15:00,45.468
1/4/2020,10:30:00,45.842
1/4/2020,10:45:00,46.215
1/4/2020,11:00:00,46.651
1/4/2020,11:15:00,47.181
1/4/2020,11:30:00,47.804
1/4/2020,11:45:00,48.582
1/4/2020,12:00:00,49.517
1/4/2020,12:15:00,50.575
1/4/2020,12:30:00,51.634
1/4/2020,12:45:00,52.444
1/4/2020,13:00:00,52.880
1/4/2020,13:15:00,52.755
1/4/2020,13:30:00,52.195
1/4/2020,13:45:00,51.323
1/4/2020,14:00:00,50.295
1/4/2020,14:15:00,49.236
1/4/2020,14:30:00,48.240
1/4/2020,14:45:00,47.274
1/4/2020,15:00:00,46.402
1/4/2020,15:15:00,45.624
1/4/2020,15:30:00,44.970
1/4/2020,15:45:00,44.440
1/4/2020,16:00:00,44.067
1/4/2020,16:15:00,43.880
1/4/2020,16:30:00,44.129
1/4/2020,16:45:00,45.125
1/4/2020,17:00:00,47.181
1/4/2020,17:15:00,50.420
1/4/2020,17:30:00,54.375
1/4/2020,17:45:00,58.361
1/4/2020,18:00:00,61.693
1/4/2020,18:15:00,63.904
1/4/2020,18:30:00,65.119
1/4/2020,18:45:00,65.742
1/4/2020,19:00:00,66.084
1/4/2020,19:15:00,66.396
1/4/2020,19:30:00,66.333
1/4/2020,19:45:00,65.524
1/4/2020,20:00:00,63.499
1/4/2020,20:15:00,60.074
1/4/2020,20:30:00,55.745
1/4/2020,20:45:00,51.198
1/4/2020,21:00:00,47.181
1/4/2020,21:15:00,44.191
1/4/2020,21:30:00,42.136
1/4/2020,21:45:00,40.797
